Municipio;Qtde;Principal
2902203;8700;Feijao
2902252;6868;Mandioca
2902302;13440;Feijao
2902401;23017;Mandioca
2902609;1370;Feijao
2902658;534795;Milho
2903102;75000;Mandioca
2903201;112111;Algodao
2903235;1530;Feijao
2903300;39740;Feijao
2903409;144850;Milho
2903508;75600;Soja
2903607;173793;Soja
2903706;34000;Milho
2904001;110000;Laranja
2904100;2700;Feijao
2904407;136768;Soja
2904605;40500;Milho
2904704;313524;Milho
2904753;227280;Milho
2904803;631080;Milho
2904852;25000;Mandioca
2905107;4740;Mandioca
2905305;49980;Milho
2905404;1320;Feijao
2905602;51900;Milho
2906303;445500;Milho
2906808;2851200;Milho
2906873;208000;Laranja
2906907;2400;Feijao
2907202;696960;Milho
2907301;5569;Mandioca
2907707;73500;Milho
2907806;63870;Feijao
2907905;72000;Milho
2908200;115500;Soja
2908606;235840;Soja
2908705;215940;Soja
2908804;53700;Milho
2909000;86100;Soja
2909307;4244173;Cana-de-acucar
2909505;16817;Café
2910057;135900;Milho
2910107;271560;Soja
2910503;94000;Soja
2911105;214170;Algodao
2911303;37200;Milho
2911709;19584;Café
2911808;66000;Soja
2912004;999000;Cana-de-acucar
2912103;22950;Café
2912301;125100;Milho
2912509;61500;Uva
2912608;10585;Mandioca
2912707;55040;Milho
2912905;10363;Mandioca
2913002;12375;Mandioca
2913101;840000;Cana-de-acucar
2913200;96900;Milho
2913309;275600;Milho
2913507;68000;Milho
2913606;10780;Mandioca
2913804;526612;Soja
2913903;62700;Soja
2914802;5227;Mandioca
2915106;5202;Mandioca
2915353;120600;Soja
2915502;136900;Soja
2916005;1651;Feijao
2916807;390000;Soja
2917003;7024;Café
2917334;24625;Mandioca
2917508;25600;Trigo
2917607;32900;Milho
2918001;6000;Feijao
2918100;13460;Uva
2918209;68400;Soja
2918308;10020;Mandioca
2918456;40000;Mandioca
2918506;19320;Café
2918555;100800;Soja
2918753;9762;Café
2918803;6600;Trigo
2918902;8610;Café
2919058;17500;Trigo
2919108;101187;Soja
2919157;42636;Milho
2919207;252000;Milho
2919553;181260;Soja
2919603;1890;Feijao
2920007;1800;Feijao
2920106;76600;Soja
2920205;1064000;Cana-de-acucar
2920502;307200;Milho
2920601;8880;Trigo
2920908;45100;Mandioca
2921005;15675;Café
2921104;66500;Milho
2921302;36842;Milho
2921609;98580;Soja
2922201;70560;Soja
2922300;1190;Feijao
2923001;2940;Feijao
2923209;9450;Trigo
2923357;1920;Feijao
2923506;1248;Feijao
2923605;46675;Laranja
2924058;28000;Mandioca
2924306;33600;Mandioca
2924504;6137;Café
2925006;1620;Feijao
2926202;102649;Algodao
2926509;90468;Laranja
2926707;2232000;Soja
2926806;150000;Soja
2927705;29640;Mandioca
2928208;1831000;Cana-de-acucar
2928307;64800;Soja
2928406;192000;Soja
2928703;81660;Soja
2928802;8568;Café
2928901;513344;Algodao
2929107;17640;Café
2929206;5250;Mandioca
2929255;84420;Soja
2929503;11220;Mandioca
2930006;972000;Cana-de-acucar
2930154;3192000;Cana-de-acucar
2930303;82600;Milho
2931202;385000;Milho
2931301;7740;Café
2931509;80070;Soja
2931608;1200;Feijao
2931905;1400;Feijao
2932408;33500;Uva
2932507;64965;Milho
2932804;84000;Soja
2933158;12832;Café
2933455;5270000;Cana-de-acucar
2933604;7500;Feijao
3100104;62900;Mandioca
3100302;118800;Soja
3100401;6360;Mandioca
3100500;18090;Feijao
3100609;14735;Batata
3100906;18120;Mandioca
3101102;9360;Café
3101201;8100;Trigo
3101607;8540;Café
3101805;110400;Laranja
3101904;73913;Milho
3102209;144204;Milho
3102704;6743;Fumo
3102803;70534;Milho
3102902;12100;Feijao
3103306;30331;Milho
3103405;10180;Mandioca
3103702;31133;Laranja
3104007;1080000;Cana-de-acucar
3104205;612960;Cana-de-acucar
3104304;31419;Laranja
3104452;15000;Mandioca
3104601;14850;Mandioca
3104700;72365;Mandioca
3105004;1980;Feijao
3105509;963000;Cana-de-acucar
3105905;57965;Milho
3106002;269100;Soja
3106101;5400;Café
3106200;6060;Feijao
3107307;676824;Cana-de-acucar
3107406;36619;Milho
3107901;38025;Mandioca
3108008;266456;Milho
3108107;9345;Feijao
3108404;45990;Laranja
3108503;10584;Café
3108602;21750;Batata
3108909;1890;Feijao
3109006;770000;Cana-de-acucar
3109303;20800;Mandioca
3109709;13150;Mandioca
3109907;37500;Uva
3110004;1634;Feijao
3110202;2134;Feijao
3110400;61200;Milho
3110707;4973;Mandioca
3111200;4960;Mandioca
3112307;80500;Soja
3112406;32150;Milho
3112604;6240;Café
3112653;28500;Café
3112703;318100;Soja
3112802;2880;Feijao
3113206;36720;Milho
3113305;10450;Feijao
3113404;4074;Fumo
3113503;8880;Café
3113602;5100;Mandioca
3113701;18809;Café
3113800;62000;Laranja
3113909;93480;Soja
3114105;319422;Laranja
3114550;6840;Trigo
3114709;211967;Soja
3114907;69020;Soja
3115003;99830;Soja
3115409;9888;Feijao
3115458;9780;Café
3115474;2240000;Cana-de-acucar
3115805;32916;Mandioca
3116159;1064;Feijao
3116209;14400;Café
3116407;29940;Milho
3116605;7320;Feijao
3116803;1304;Feijao
3116902;117990;Soja
3117009;72820;Milho
3117108;47700;Laranja
3117306;1235400;Soja
3117504;49066;Milho
3117603;40759;Laranja
3117836;10350;Mandioca
3118007;379900;Milho
3118205;579120;Soja
3118908;5391;Mandioca
3119005;195500;Soja
3119500;135000;Soja
3119708;29880;Mandioca
3119906;218400;Milho
3120003;9250;Mandioca
3120151;2975;Feijao
3120300;25610;Café
3120409;1705;Feijao
3120706;51166;Mandioca
3121001;265634;Soja
3121100;1081;Feijao
3121209;158400;Soja
3121258;16200;Uva
3121308;2250;Fumo
3121506;788958;Cana-de-acucar
3121605;23012;Mandioca
3121803;2852;Feijao
3121902;9405;Feijao
3122009;1239;Feijao
3122108;95643;Soja
3122207;20800;Trigo
3122306;31378;Laranja
3122355;201600;Soja
3122603;7200;Mandioca
3123106;167040;Soja
3123403;66960;Soja
3123700;20700;Feijao
3124005;3231;Feijao
3124203;1323434;Cana-de-acucar
3124401;107800;Milho
3124708;269304;Milho
3124906;700000;Cana-de-acucar
3125002;8910;Feijao
3125309;36523;Milho
3126208;2040;Feijao
3126703;64708;Laranja
3126752;40130;Milho
3126901;6750;Trigo
3126950;61425;Milho
3127008;64800;Milho
3127404;30100;Mandioca
3128006;72000;Soja
3128204;646428;Soja
3128253;5100;Mandioca
3128907;76900;Milho
3129301;1307;Feijao
3129400;54000;Milho
3129509;5400;Mandioca
3129657;43290;Café
3129806;1637;Feijao
3130309;32232;Laranja
3130507;73110;Soja
3130606;2436;Feijao
3130655;1337;Feijao
3130705;624996;Cana-de-acucar
3131000;40200;Milho
